Timestamp,Age,Gender,What is your highest level of education?,Current status ,"If you are a student, what is your current or most recent field of study?",What career do you aspire to pursue?,Have you ever received any form of career guidance or counselling? ,"If yes, where did you receive this guidance?",What skills do you believe are most important for your desired career?,What areas do you feel you need the most guidance in?,What are the main challenges you face in pursuing your desired career? ,How do you currently access information about careers?,How would you prefer to receive career guidance?,How comfortable are you with using online platforms for career guidance?,How satisfied are you with the current level of career guidance available to you?,How important do you believe career guidance is for your future success?,What features would you find most useful in an AI-based career guidance system?,Do you have any concerns about using AI for career guidance? ,How likely are you to use an AI-based career guidance system if it were available?,What suggestions do you have for improving career guidance services in Uganda?,Are you planning to pursue further education or training?,Are you currently looking for a job or planning to start a job search soon? ,Are you considering starting your own business as a career option?  ,Do you have access to financial resources or scholarships to support your education or career goals? ,How much influence does your family have on your career choices?,"Do you have regular access to a smartphone, computer, or the internet?",,,
2024/09/03 1:43:06 PM GMT+3,23,Female,UACE certificate,Employed,Not a student,Mass communications ,Yes,School,Confidence,Further education,Funds,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Neutral,,Yes,No,Yes,No,Some,Yes,Yes,Central Uganda,No
2024/09/09 1:48:00 PM GMT+3,21,Female,Bachelor’s degree,Student,Software Engineering,Developer,No,,Coding skills,Job search,Lack of information,Internet,Online tools,Very comfortable,Neutral,Important,Job matching,Access,Likely,The govt should provide more career guidance cunsolers,Maybe,Yes,No,Yes,None,Yes,,,
2024/09/11 8:11:12 AM GMT+3,22,Male,Bachelor’s degree,Unemployed,,Epidemiologist ,Maybe,School,Data management communication skills,Choosing a career,Lack of information,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Very likely,Career guidance sessions should be ask frequent as possible ,Yes,Yes,Yes,Not sure,None,Yes,,,
2024/09/11 8:43:30 AM GMT+3,22,Male,UACE certificate,Unemployed,,cyber security officer,Yes,School,"programming, pen testing ",Further education,Limited opportunities,Internet,Workshops,Somewhat comfortable,Neutral,Important,Personalized recommendations;Job matching,Data privacy,Neutral,Offering opportunities ,Yes,Yes,Maybe,No,Some,Yes,,,
2024/09/11 9:30:35 AM GMT+3,27,Male,Bachelor’s degree,Employed,,,No,,Computer literacy,Skill development,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment;Job matching,Data privacy;Accuracy,Likely,,Yes,Maybe,Yes,No,Some,Yes,,,
2024/09/11 9:41:14 AM GMT+3,23,Male,Bachelor’s degree,Unemployed,,Taxation ,Yes,Family,Accounting ,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Neutral,Important,Personalized recommendations,Data privacy,Very likely,,Yes,Maybe,No,No,A lot,Yes,,,
2024/09/11 9:42:20 AM GMT+3,24,Male,Bachelor’s degree,Unemployed,,,No,,Practical skills not theoretical ,Skill development,Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Dissatisfied,Very important,Job matching,Data privacy,Very likely,,Yes,Yes,Yes,No,None,Yes,,,
2024/09/11 11:26:29 AM GMT+3,22,Male,UACE certificate,Student,Year 3,IT Auditing,Yes,School,IT skills,Skill development,Lack of information,Family,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Likely,,Yes,Yes,Yes,Not sure,A lot,Yes,,,
2024/09/11 11:37:18 AM GMT+3,19,Male,UCE certificate,Student,BCM/ICT combination ,Neurosurgery and Photography ,Maybe,School,Communication and perseverance ,Skill development,Limited opportunities,Teachers,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy;Access,Very likely,Carrying out surveys even to government sponsored schools and spreading information on how to contact the service providers ,Yes,Yes,Yes,Not sure,A lot,Sometimes,,,
2024/09/11 12:43:14 PM GMT+3,25,Male,Bachelor’s degree,Employed,,,Yes,School,Critical thinking and analytical skills,Skill development,Limited opportunities,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Job matching,Accuracy,Very likely,Career guidance should start as early as possible in the education system basing off of individuals particular talents or interests,Yes,No,Maybe,No,A lot,Yes,,,
